smiles,IC50(uM),leaked
CC(C)CCCCCCCCC[C@@H]1CC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)O1,600.0,False
CC(C)COc1cccc(Nc2ccccc2C(N)=O)c1,300.0,False
CC(C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCNC(N)=S)NC(=O)OCc1ccccc1,0.98,False
CC(C)OC(=O)Nc1ccc2c(c1)C(NC(=O)Nc1cccc(C#N)c1)CC(C)(C)O2,54.8,False
CC(C)Oc1cccc(C=C2C(=O)OC(c3ccccc3)OC2=O)c1,14.01,False
CC(C)c1c(CC(N)=O)[nH]c2ccc(Br)cc12,4.2,False
CC(C)c1c(CC(N)=O)[nH]c2ccc(Cl)cc12,1.6,False
CC(C)c1cc(C(=O)N(C)c2ccc(NC(=O)CCCCCCC(=O)NO)cc2)c(O)cc1O,10.0,False
CC(C)c1cc(C(=O)N(C)c2ccc(NC(=O)CCCCCCCC(=O)NO)cc2)c(O)cc1O,10.0,False
CC(C)c1ccc(-c2[nH][nH]c(=O)c2Cc2c(O)ccc3nc(Cl)ccc23)cc1,21.0,False
CC(C)c1ccc(C(=O)NC(=S)Nc2ccc(NC(=O)CCCCN(C)C)cc2)cc1,53.75,False
CC(C)c1ccc(C(=O)Nc2cccc(COc3cncc(C(N)=O)c3)c2)cc1,13.5,False
CC(C)c1ccc(C=C2C(=O)NC(=S)NC2=O)cc1,12.4,False
CC(CS(=O)(=O)c1cccc(/N=C/c2c(O)ccc3ccccc23)c1)c1ccccc1,40.3,False
CC(CS(=O)(=O)c1ccccc1/N=C/c1c(O)ccc2ccccc12)c1ccccc1,40.3,False
CC(CSc1ccc(/N=C/c2c(O)ccc3ccccc23)cc1)c1ccccc1,40.3,False
CC(CSc1cccc(/N=C/c2c(O)ccc3ccccc23)c1)c1ccccc1,40.3,False
CC(CSc1ccccc1/N=C/c1c(O)ccc2ccccc12)c1ccccc1,40.3,False
