smiles,percent_inhibition,leaked
CCNC(=O)CCCSC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](N)CCCCN)[C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)NCC(=O)NCC(=O)N[C@@H](CCCCN)C(=O)O)[C@@H](C)O,35.0,False
CCOC(=O)C1=C(CN2CCOCC2)NC(c2nccs2)=NC1c1ccc(F)cc1Br,7.0,False
CCOC(=O)C1=CN(CCc2ccccc2)C=C(C(=O)OCC)C1c1ccccc1,76.6,False
CCOC(=O)C1=CN(c2ccccc2)C=C(C(=O)OCC)C1c1ccccc1,63.6,False
CCOC(=O)C1CCCc2c(-c3ccc(Cl)c(F)c3)n[nH]c21,20.0,False
CCOC(=O)CCCN1C(=O)c2ccccc2S1(=O)=O,8.7,False
CCOC(=O)c1ccc(N2CCN(CCn3c(-c4ccc(-c5ccc(C)cc5)cc4)nc4cc(C(=O)OCC)ccc43)CC2)c(N)c1,28.38,False
CCOC(=O)c1ccc(N2CCN(CCn3c(-c4ccc(-c5ccc(Cl)cc5)cc4)nc4cc(C(=O)OCC)ccc43)CC2)c(N)c1,28.19,False
CCOC(=O)c1ccc(N2CCN(CCn3c(-c4ccc(-c5ccc(OC(F)(F)F)cc5)cc4)nc4cc(C(=O)OCC)ccc43)CC2)c(N)c1,24.56,False
CCOC(=O)c1ccc(N2CCN(CCn3c(-c4ccc(-c5ccccc5)cc4)nc4cc(C(=O)OCC)ccc43)CC2)c(N)c1,31.09,False
CCOC(=O)c1ccc(N2CCN(CCn3c(-c4ccc(-c5cncc(-c6ccc(F)cc6)c5)cc4)nc4cc(C(=O)OCC)ccc43)CC2)c(N)c1,20.6,False
CCOC(=O)c1ccc2[nH]c(-c3ccc(C(C)(C)C)cc3)nc2c1,46.92,False
CCOC(=O)c1ccc2[nH]c(-c3ccc(C)cc3)nc2c1,40.11,False
CCOC(=O)c1ccc2[nH]c(-c3ccc(N(C)C)cc3)nc2c1,43.93,False
CCOC(=O)c1ccc2[nH]c(-c3ccc(N4CCCCC4)cc3)nc2c1,55.08,False
CCOC(=O)c1ccc2[nH]c(-c3ccc(N4CCOCC4)cc3)nc2c1,37.77,False
CCOC(=O)c1ccc2[nH]c(-c3ccc(O)cc3)nc2c1,37.36,False
CCOC(=O)c1ccc2[nH]c(-c3ccc(OC)cc3)nc2c1,19.7,False
CCOC(=O)c1ccc2[nH]c(-c3ccccc3)nc2c1,24.7,False
CCOC(=O)c1ccc2c(c1)nc(-c1ccc(Br)cc1)n2-c1ccccc1,26.7,False
CCOC(=O)c1ccc2c(c1)nc(-c1ccc(Br)cc1)n2CCCN1CCCC1=O,27.3,False
CCOC(=O)c1ccc2c(c1)nc(-c1ccc(Br)cc1)n2CCO,14.72,False
CCOC(=O)c1ccc2c(c1)nc(-c1ccc(C(F)(F)F)cc1)n2-c1ccccc1,33.76,False
CCOC(=O)c1ccc2c(c1)nc(-c1ccc(C(F)(F)F)cc1)n2CCCN1CCCC1=O,32.84,False
CCOC(=O)c1ccc2c(c1)nc(-c1ccc(C(F)(F)F)cc1)n2CCO,23.22,False
CCOC(=O)c1ccc2c(c1)nc(-c1ccc(C)cc1)n2-c1ccccc1,43.93,False
CCOC(=O)c1ccc2c(c1)nc(-c1ccc(C)cc1)n2CCCN1CCCC1=O,33.56,False
CCOC(=O)c1ccc2c(c1)nc(-c1ccc(C)cc1)n2CCO,24.94,False
CCOC(=O)c1ccc2c(c1)nc(-c1ccc(Cl)cc1)n2-c1ccccc1,19.82,False
CCOC(=O)c1ccc2c(c1)nc(-c1ccc(Cl)cc1)n2CCCN1CCCC1=O,27.16,False
CCOC(=O)c1ccc2c(c1)nc(-c1ccc(Cl)cc1)n2CCO,5.32,False
CCOC(=O)c1ccc2c(c1)nc(-c1ccc(N(C)C)cc1)n2-c1ccccc1,60.59,False
CCOC(=O)c1ccc2c(c1)nc(-c1ccc(N(C)C)cc1)n2CCCN1CCCC1=O,49.15,False
