smiles,Ki,leaked
CC(=O)Nc1cc(-c2cc(C)cc(C)c2)nc(-n2nc(C)cc2C)n1,8.0,False
CC(=O)Nc1cc(-c2cc(C)ccc2C)nc(-n2nc(C)cc2C)n1,19.0,False
CC(=O)Nc1cc(-c2cc(F)cc(F)c2)nc(-n2nc(C)cc2C)n1,4.0,False
CC(=O)Nc1cc(-c2cc(F)cc(OC3CCN(C)C3)c2)nc(-n2nc(C)cc2C)n1,1.0,False
CC(=O)Nc1cc(-c2cc(F)cc(O[C@@H]3CCN(C)C3)c2)nc(-n2nc(C)cc2C)n1,2.0,False
CC(=O)Nc1cc(-c2cc(F)cc(O[C@H]3CCN(C)C3)c2)nc(-n2nc(C)cc2C)n1,1.0,False
CC(=O)Nc1cc(-c2cc(N3CCOCC3)ccn2)nc(-n2nc(C)cc2C)n1,87.0,False
CC(=O)Nc1cc(-c2cc(O)cc(F)c2)nc(-n2nc(C)cc2C)n1,2.0,False
CC(=O)Nc1cc(-c2ccc(F)cc2)nc(-c2ccc(F)cc2)n1,1334.0,False
CC(=O)Nc1cc(-c2ccc3c(c2)OCO3)nc(-c2ccc3c(c2)OCO3)n1,3345.0,False
CC(=O)Nc1cc(-c2cccc(C#N)c2)nc(-n2nc(C)cc2C)n1,2.0,False
CC(=O)Nc1cc(-c2cccc(C(F)(F)F)c2)nc(-n2nc(C)cc2C)n1,2.0,False
CC(=O)Nc1cc(-c2cccc(C)c2)nc(-n2nc(C)cc2C)n1,7.0,False
CC(=O)Nc1cc(-c2cccc(CC#N)c2)nc(-n2nc(C)cc2C)n1,2.0,False
CC(=O)Nc1cc(-c2cccc(CO[C@@H]3CCN(C)C3)c2)nc(-n2nc(C)cc2C)n1,67.0,False
CC(=O)Nc1cc(-c2cccc(CO[C@H]3CCN(C)C3)c2)nc(-n2nc(C)cc2C)n1,73.0,False
CC(=O)Nc1cc(-c2cccc(N(C)C)n2)nc(-n2nc(C)cc2C)n1,0.61,False
CC(=O)Nc1cc(-c2cccc(N)n2)nc(-n2nc(C)cc2C)n1,7.9,False
CC(=O)Nc1cc(-c2cccc(N3CCC(O)CC3)n2)nc(-n2nc(C)cc2C)n1,1.9,False
CC(=O)Nc1cc(-c2cccc(N3CCCC3)n2)nc(-n2nc(C)cc2C)n1,0.26,False
CC(=O)Nc1cc(-c2cccc(N3CCCCC3)n2)nc(-n2nc(C)cc2C)n1,0.56,False
CC(=O)Nc1cc(-c2cccc(N3CCCOCC3)n2)nc(-n2nc(C)cc2C)n1,2.3,False
CC(=O)Nc1cc(-c2cccc(N3CCN(C)CC3)n2)nc(-n2nc(C)cc2C)n1,0.71,False
CC(=O)Nc1cc(-c2cccc(N3CCOCC3)n2)nc(-n2nc(C)cc2C)n1,0.83,False
CC(=O)Nc1cc(-c2cccc(O)c2)nc(-n2nc(C)cc2C)n1,2.0,False
CC(=O)Nc1cc(-c2cccc(OC3CCCN(C)C3)c2)nc(-n2nc(C)cc2C)n1,1.0,False
CC(=O)Nc1cc(-c2cccc(OC3CCN(C(C)C)C3)c2)nc(-n2nc(C)cc2C)n1,3.0,False
CC(=O)Nc1cc(-c2cccc(OC3CCN(C)C3)c2)nc(-n2nc(C)cc2C)n1,2.0,False
CC(=O)Nc1cc(-c2cccc(OC3CCN(C)CC3)c2)nc(-n2nc(C)cc2C)n1,6.0,False
CC(=O)Nc1cc(-c2cccc(OCCN(C)C)c2)nc(-n2nc(C)cc2C)n1,5.0,False
CC(=O)Nc1cc(-c2cccc(O[C@@H]3CCN(C)C3)c2)nc(-n2nc(C)cc2C)n1,4.0,False
CC(=O)Nc1cc(-c2cccc(O[C@H]3CCN(C)C3)c2)nc(-n2nc(C)cc2C)n1,2.0,False
CC(=O)Nc1cc(-c2ccccc2)nc(-c2ccccc2)n1,255.3,False
CC(=O)Nc1cc(-c2ccccc2)nc(-n2nc(C)cc2C)n1,87.0,False
CC(=O)Nc1cc(-c2ccccc2F)nc(-c2ccccc2F)n1,73.8,False
CC(=O)Nc1cc(-c2ccccc2O)nc(-n2nc(C)cc2C)n1,1.9,False
CC(=O)Nc1cc(-c2cccnc2)nc(-n2nc(C)cc2C)n1,120.0,False
CC(=O)Nc1cc(-c2ccco2)nc(-c2ccco2)n1,8.1,False
CC(=O)Nc1cc(-c2cccs2)nc(-c2cccs2)n1,24.6,False
CC(=O)Nc1cc(-c2ccnc(N3CCOCC3)c2)nc(-n2nc(C)cc2C)n1,12.0,False
CC(=O)Nc1cc(-c2ccncc2)nc(-n2nc(C)cc2C)n1,40.0,False
CC(=O)Nc1cc(-c2ccoc2)nc(-c2ccoc2)n1,74.0,False
CC(=O)Nc1cc(-c2ccsc2)nc(-c2ccsc2)n1,39.8,False
CC(=O)Nc1cc(-c2cncc(N3CCOCC3)c2)nc(-n2nc(C)cc2C)n1,3.0,False
CC(=O)Nc1cc(-c2cncc(O)c2)nc(-n2nc(C)cc2C)n1,2.9,False
CC(=O)Nc1cc(-n2cccn2)nc(-c2ccco2)n1,0.6,False
CC(=O)Nc1cc(N2CCCC2)nc(-n2nc(C)cc2C)n1,110.0,False
CC(=O)Nc1cc(N2CCCC2=O)nc(-n2nc(C)cc2C)n1,12.0,False
CC(=O)Nc1cc(N2CCCC2C)nc(-n2nc(C)cc2C)n1,28.0,False
